MES_ANO,ESTADO,VALOR REVENDA (R$/L)
2004-10,GOIAS,2.18575
2004-10,MARANHAO,2.2115
2004-10,MATO GROSSO,2.5905
2004-10,MATO GROSSO DO SUL,2.383
2004-10,MINAS GERAIS,2.157
2004-10,PARA,2.45425
2004-10,PARAIBA,2.09675
2004-10,PARANA,2.16775
2004-10,PERNAMBUCO,2.172
2004-10,PIAUI,2.217
2004-10,RIO DE JANEIRO,2.214
2004-10,RIO GRANDE DO NORTE,2.1550000000000002
2004-10,RIO GRANDE DO SUL,2.32225
2004-10,RONDONIA,2.5015
2004-10,RORAIMA,2.165
2004-10,SANTA CATARINA,2.23975
2004-10,SAO PAULO,2.0705
2004-10,SERGIPE,2.14375
2004-10,TOCANTINS,2.3122499999999997
2004-11,ACRE,2.4979999999999998
2004-11,ALAGOAS,2.299
2004-11,AMAPA,2.3585
2004-11,AMAZONAS,2.3255
2004-11,BAHIA,2.257
2004-11,CEARA,2.32775
2004-11,DISTRITO FEDERAL,2.20175
2004-11,ESPIRITO SANTO,2.245
2004-11,GOIAS,2.2105
2004-11,MARANHAO,2.1365
2004-11,MATO GROSSO,2.5825
2004-11,MATO GROSSO DO SUL,2.4455
2004-11,MINAS GERAIS,2.12975
2004-11,PARA,2.365
2004-11,PARAIBA,2.1472499999999997
2004-11,PARANA,2.1712499999999997
2004-11,PERNAMBUCO,2.22375
2004-11,PIAUI,2.28975
2004-11,RIO DE JANEIRO,2.205
2004-11,RIO GRANDE DO NORTE,2.22625
2004-11,RIO GRANDE DO SUL,2.2975
2004-11,RONDONIA,2.4475000000000002
2004-11,RORAIMA,2.20275
2004-11,SANTA CATARINA,2.3135
2004-11,SAO PAULO,2.09675
2004-11,SERGIPE,2.15975
2004-11,TOCANTINS,2.3505000000000003
2004-12,ACRE,2.6323999999999996
2004-12,ALAGOAS,2.4335999999999998
2004-12,AMAPA,2.4614000000000003
2004-12,AMAZONAS,2.509
2004-12,BAHIA,2.3815999999999997
2004-12,CEARA,2.4178
2004-12,DISTRITO FEDERAL,2.2602
2004-12,ESPIRITO SANTO,2.3142
2004-12,GOIAS,2.3594
2004-12,MARANHAO,2.2649999999999997
2004-12,MATO GROSSO,2.6997999999999998
2004-12,MATO GROSSO DO SUL,2.5232
2004-12,MINAS GERAIS,2.2184
2004-12,PARA,2.4364
2004-12,PARAIBA,2.295
2004-12,PARANA,2.2443999999999997
2004-12,PERNAMBUCO,2.3372
2004-12,PIAUI,2.4404
2004-12,RIO DE JANEIRO,2.2904
2004-12,RIO GRANDE DO NORTE,2.334
2004-12,RIO GRANDE DO SUL,2.4764000000000004
2004-12,RONDONIA,2.5442
2004-12,RORAIMA,2.3714
2004-12,SANTA CATARINA,2.4018
2004-12,SAO PAULO,2.1984000000000004
2004-12,SERGIPE,2.2744
2004-12,TOCANTINS,2.4432
2005-01,ACRE,2.6355
2005-01,ALAGOAS,2.45625
2005-01,AMAPA,2.424
2005-01,AMAZONAS,2.51275
2005-01,BAHIA,2.37075
2005-01,CEARA,2.363
2005-01,DISTRITO FEDERAL,2.1945
2005-01,ESPIRITO SANTO,2.3112500000000002
2005-01,GOIAS,2.374
2005-01,MARANHAO,2.25175
2005-01,MATO GROSSO,2.71425
2005-01,MATO GROSSO DO SUL,2.51775
2005-01,MINAS GERAIS,2.21775
2005-01,PARA,2.41525
2005-01,PARAIBA,2.37
2005-01,PARANA,2.21775
2005-01,PERNAMBUCO,2.32325
2005-01,PIAUI,2.44025
2005-01,RIO DE JANEIRO,2.29375
2005-01,RIO GRANDE DO NORTE,2.306
2005-01,RIO GRANDE DO SUL,2.465
2005-01,RONDONIA,2.5404999999999998
2005-01,RORAIMA,2.38275
2005-01,SANTA CATARINA,2.3935
2005-01,SAO PAULO,2.1965
2005-01,SERGIPE,2.28225
2005-01,TOCANTINS,2.4465
2005-02,ACRE,2.6334999999999997
2005-02,ALAGOAS,2.45425
2005-02,AMAPA,2.40825
2005-02,AMAZONAS,2.5084999999999997
2005-02,BAHIA,2.363
2005-02,CEARA,2.25625
2005-02,DISTRITO FEDERAL,2.2805
2005-02,ESPIRITO SANTO,2.29325
2005-02,GOIAS,2.34775
2005-02,MARANHAO,2.29825
2005-02,MATO GROSSO,2.7145
2005-02,MATO GROSSO DO SUL,2.519
2005-02,MINAS GERAIS,2.2095000000000002
