ANO,REGIÃO,ESTADO,VALOR REVENDA (R$/L)
2007,SUL,SANTA CATARINA,2.5421730769230773
2008,CENTRO OESTE,DISTRITO FEDERAL,2.5567735849056605
2008,CENTRO OESTE,GOIAS,2.50722641509434
2008,CENTRO OESTE,MATO GROSSO,2.755
2008,CENTRO OESTE,MATO GROSSO DO SUL,2.7108490566037737
2008,NORDESTE,ALAGOAS,2.760377358490566
2008,NORDESTE,BAHIA,2.6169811320754715
2008,NORDESTE,CEARA,2.5706415094339623
2008,NORDESTE,MARANHAO,2.6499245283018866
2008,NORDESTE,PARAIBA,2.4525849056603772
2008,NORDESTE,PERNAMBUCO,2.5965471698113207
2008,NORDESTE,PIAUI,2.6
2008,NORDESTE,RIO GRANDE DO NORTE,2.5887924528301887
2008,NORDESTE,SERGIPE,2.5213018867924526
2008,NORTE,ACRE,2.9661509433962263
2008,NORTE,AMAPA,2.612924528301887
2008,NORTE,AMAZONAS,2.4428490566037735
2008,NORTE,PARA,2.745301886792453
2008,NORTE,RONDONIA,2.708547169811321
2008,NORTE,RORAIMA,2.6909056603773585
2008,NORTE,TOCANTINS,2.7389433962264147
2008,SUDESTE,ESPIRITO SANTO,2.627566037735849
2008,SUDESTE,MINAS GERAIS,2.449207547169811
2008,SUDESTE,RIO DE JANEIRO,2.5470943396226415
2008,SUDESTE,SAO PAULO,2.4027924528301887
2008,SUL,PARANA,2.414
2008,SUL,RIO GRANDE DO SUL,2.567867924528302
2008,SUL,SANTA CATARINA,2.5363584905660375
2009,CENTRO OESTE,DISTRITO FEDERAL,2.6815800000000003
2009,CENTRO OESTE,GOIAS,2.58804
2009,CENTRO OESTE,MATO GROSSO,2.7218
2009,CENTRO OESTE,MATO GROSSO DO SUL,2.6630399999999996
2009,NORDESTE,ALAGOAS,2.69682
2009,NORDESTE,BAHIA,2.63602
2009,NORDESTE,CEARA,2.53618
2009,NORDESTE,MARANHAO,2.5970400000000002
2009,NORDESTE,PARAIBA,2.4152
2009,NORDESTE,PERNAMBUCO,2.5708800000000003
2009,NORDESTE,PIAUI,2.5635399999999997
2009,NORDESTE,RIO GRANDE DO NORTE,2.59106
2009,NORDESTE,SERGIPE,2.5502000000000002
2009,NORTE,ACRE,2.96378
2009,NORTE,AMAPA,2.71516
2009,NORTE,AMAZONAS,2.57016
2009,NORTE,PARA,2.75726
2009,NORTE,RONDONIA,2.67692
2009,NORTE,RORAIMA,2.6986000000000003
2009,NORTE,TOCANTINS,2.73706
2009,SUDESTE,ESPIRITO SANTO,2.6307600000000004
2009,SUDESTE,MINAS GERAIS,2.44022
2009,SUDESTE,RIO DE JANEIRO,2.56612
2009,SUDESTE,SAO PAULO,2.403
2009,SUL,PARANA,2.472
2009,SUL,RIO GRANDE DO SUL,2.5557
2009,SUL,SANTA CATARINA,2.53532
2010,CENTRO OESTE,DISTRITO FEDERAL,2.7133846153846153
2010,CENTRO OESTE,GOIAS,2.554269230769231
2010,CENTRO OESTE,MATO GROSSO,2.7725576923076924
2010,CENTRO OESTE,MATO GROSSO DO SUL,2.6490384615384617
2010,NORDESTE,ALAGOAS,2.725538461538462
2010,NORDESTE,BAHIA,2.7140769230769233
2010,NORDESTE,CEARA,2.6328269230769235
2010,NORDESTE,MARANHAO,2.583596153846154
2010,NORDESTE,PARAIBA,2.4462115384615384
2010,NORDESTE,PERNAMBUCO,2.6156538461538466
2010,NORDESTE,PIAUI,2.5175961538461538
2010,NORDESTE,RIO GRANDE DO NORTE,2.6755
2010,NORDESTE,SERGIPE,2.6077115384615386
2010,NORTE,ACRE,2.985692307692308
2010,NORTE,AMAPA,2.848826923076923
2010,NORTE,AMAZONAS,2.6081538461538463
2010,NORTE,PARA,2.7658653846153842
2010,NORTE,RONDONIA,2.769307692307692
2010,NORTE,RORAIMA,2.833442307692308
2010,NORTE,TOCANTINS,2.824173076923077
2010,SUDESTE,ESPIRITO SANTO,2.685980769230769
2010,SUDESTE,MINAS GERAIS,2.515423076923077
2010,SUDESTE,RIO DE JANEIRO,2.648673076923077
2010,SUDESTE,SAO PAULO,2.4625000000000004
2010,SUL,PARANA,2.5287307692307692
2010,SUL,RIO GRANDE DO SUL,2.6026346153846154
2010,SUL,SANTA CATARINA,2.5764615384615386
2011,CENTRO OESTE,DISTRITO FEDERAL,2.832115384615385
2011,CENTRO OESTE,GOIAS,2.8516346153846155
2011,CENTRO OESTE,MATO GROSSO,2.892153846153846
2011,CENTRO OESTE,MATO GROSSO DO SUL,2.72825
2011,NORDESTE,ALAGOAS,2.8254807692307695
2011,NORDESTE,BAHIA,2.7514423076923076
2011,NORDESTE,CEARA,2.722730769230769
2011,NORDESTE,MARANHAO,2.6499230769230766
2011,NORDESTE,PARAIBA,2.5591730769230767
2011,NORDESTE,PERNAMBUCO,2.674634615384615
2011,NORDESTE,PIAUI,2.656307692307692
2011,NORDESTE,RIO GRANDE DO NORTE,2.7171538461538463
2011,NORDESTE,SERGIPE,2.726961538461538
2011,NORTE,ACRE,3.1128076923076926
2011,NORTE,AMAPA,2.7977307692307694
2011,NORTE,AMAZONAS,2.7774230769230766
2011,NORTE,PARA,2.818673076923077
2011,NORTE,RONDONIA,2.9614807692307696
2011,NORTE,RORAIMA,2.8354230769230773
2011,NORTE,TOCANTINS,2.912384615384615
2011,SUDESTE,ESPIRITO SANTO,2.8677307692307696
2011,SUDESTE,MINAS GERAIS,2.7893076923076925
2011,SUDESTE,RIO DE JANEIRO,2.8358461538461537
2011,SUDESTE,SAO PAULO,2.6432307692307693
2011,SUL,PARANA,2.6784423076923076
2011,SUL,RIO GRANDE DO SUL,2.7551923076923077
2011,SUL,SANTA CATARINA,2.725596153846154
2012,CENTRO OESTE,DISTRITO FEDERAL,2.836076923076923
2012,CENTRO OESTE,GOIAS,2.766730769230769
2012,CENTRO OESTE,MATO GROSSO,2.9694423076923075
2012,CENTRO OESTE,MATO GROSSO DO SUL,2.7807692307692307
2012,NORDESTE,ALAGOAS,2.763
2012,NORDESTE,BAHIA,2.734692307692308
2012,NORDESTE,CEARA,2.705076923076923
2012,NORDESTE,MARANHAO,2.6412884615384615
2012,NORDESTE,PARAIBA,2.6027884615384616
2012,NORDESTE,PERNAMBUCO,2.7238846153846152
2012,NORDESTE,PIAUI,2.5797884615384614
2012,NORDESTE,RIO GRANDE DO NORTE,2.6969038461538464
2012,NORDESTE,SERGIPE,2.747846153846154
2012,NORTE,ACRE,3.125211538461538
2012,NORTE,AMAPA,2.7072499999999997
2012,NORTE,AMAZONAS,2.8890192307692306
2012,NORTE,PARA,2.8442307692307693
2012,NORTE,RONDONIA,2.952096153846154
2012,NORTE,RORAIMA,2.8676730769230767
2012,NORTE,TOCANTINS,2.9111346153846154
2012,SUDESTE,ESPIRITO SANTO,2.833269230769231
2012,SUDESTE,MINAS GERAIS,2.8110961538461536
2012,SUDESTE,RIO DE JANEIRO,2.852826923076923
2012,SUDESTE,SAO PAULO,2.636634615384615
2012,SUL,PARANA,2.684730769230769
2012,SUL,RIO GRANDE DO SUL,2.7593076923076927
2012,SUL,SANTA CATARINA,2.7202884615384617
2013,CENTRO OESTE,DISTRITO FEDERAL,2.979
2013,CENTRO OESTE,GOIAS,2.891884615384615
2013,CENTRO OESTE,MATO GROSSO,3.0158461538461543
2013,CENTRO OESTE,MATO GROSSO DO SUL,2.9976346153846154
2013,NORDESTE,ALAGOAS,2.883153846153846
2013,NORDESTE,BAHIA,2.894942307692308
2013,NORDESTE,CEARA,2.8368076923076924
2013,NORDESTE,MARANHAO,2.822173076923077
2013,NORDESTE,PARAIBA,2.773903846153846
2013,NORDESTE,PERNAMBUCO,2.832442307692308
2013,NORDESTE,PIAUI,2.715942307692308
2013,NORDESTE,RIO GRANDE DO NORTE,2.8798076923076925
2013,NORDESTE,SERGIPE,2.8818269230769227
2013,NORTE,ACRE,3.252096153846154
2013,NORTE,AMAPA,2.8463846153846153
2013,NORTE,AMAZONAS,2.9902307692307692
2013,NORTE,PARA,2.980365384615385
2013,NORTE,RONDONIA,3.054769230769231
2013,NORTE,RORAIMA,3.005865384615385
2013,NORTE,TOCANTINS,3.040826923076923
2013,SUDESTE,ESPIRITO SANTO,2.88925
2013,SUDESTE,MINAS GERAIS,2.8891346153846156
2013,SUDESTE,RIO DE JANEIRO,2.995442307692308
2013,SUDESTE,SAO PAULO,2.732557692307692
2013,SUL,PARANA,2.834307692307692
2013,SUL,RIO GRANDE DO SUL,2.8644230769230767
2013,SUL,SANTA CATARINA,2.846461538461538
2014,CENTRO OESTE,DISTRITO FEDERAL,3.1237735849056603
2014,CENTRO OESTE,GOIAS,3.100018867924528
2014,CENTRO OESTE,MATO GROSSO,3.110075471698113
2014,CENTRO OESTE,MATO GROSSO DO SUL,3.0773962264150945
2014,NORDESTE,ALAGOAS,3.0017735849056604
2014,NORDESTE,BAHIA,3.017264150943396
2014,NORDESTE,CEARA,2.9942830188679244
2014,NORDESTE,MARANHAO,2.987830188679245
2014,NORDESTE,PARAIBA,2.8600943396226417
2014,NORDESTE,PERNAMBUCO,2.9344150943396228
2014,NORDESTE,PIAUI,2.827188679245283
2014,NORDESTE,RIO GRANDE DO NORTE,3.026584905660377
2014,NORDESTE,SERGIPE,2.936377358490566
2014,NORTE,ACRE,3.4076603773584906
2014,NORTE,AMAPA,2.9644528301886797
2014,NORTE,AMAZONAS,3.161867924528302
2014,NORTE,PARA,3.1196037735849056
2014,NORTE,RONDONIA,3.205377358490566
2014,NORTE,RORAIMA,3.096264150943396
2014,NORTE,TOCANTINS,3.120056603773585
2014,SUDESTE,ESPIRITO SANTO,3.0017169811320756
2014,SUDESTE,MINAS GERAIS,2.976754716981132
2014,SUDESTE,RIO DE JANEIRO,3.133566037735849
2014,SUDESTE,SAO PAULO,2.8659622641509435
2014,SUL,PARANA,2.952735849056604
2014,SUL,RIO GRANDE DO SUL,2.9623207547169814
2014,SUL,SANTA CATARINA,2.957679245283019
2015,CENTRO OESTE,DISTRITO FEDERAL,3.5459607843137255
2015,CENTRO OESTE,GOIAS,3.411156862745098
2015,CENTRO OESTE,MATO GROSSO,3.385980392156863
2015,CENTRO OESTE,MATO GROSSO DO SUL,3.3480588235294118
2015,NORDESTE,ALAGOAS,3.385372549019608
2015,NORDESTE,BAHIA,3.518823529411765
2015,NORDESTE,CEARA,3.456392156862745
2015,NORDESTE,MARANHAO,3.312392156862745
2015,NORDESTE,PARAIBA,3.1959215686274507
2015,NORDESTE,PERNAMBUCO,3.380137254901961
2015,NORDESTE,PIAUI,3.2657843137254905
2015,NORDESTE,RIO GRANDE DO NORTE,3.3736666666666664
2015,NORDESTE,SERGIPE,3.371294117647059
2015,NORTE,ACRE,3.845333333333333
2015,NORTE,AMAPA,3.3443725490196075
2015,NORTE,AMAZONAS,3.607450980392157
2015,NORTE,PARA,3.5380784313725493
2015,NORTE,RONDONIA,3.5952745098039216
2015,NORTE,RORAIMA,3.564980392156863
2015,NORTE,TOCANTINS,3.523372549019608
2015,SUDESTE,ESPIRITO SANTO,3.3814313725490197
2015,SUDESTE,MINAS GERAIS,3.3722549019607846
2015,SUDESTE,RIO DE JANEIRO,3.5498823529411765
2015,SUDESTE,SAO PAULO,3.189352941176471
2015,SUL,PARANA,3.294235294117647
2015,SUL,RIO GRANDE DO SUL,3.3591960784313724
2015,SUL,SANTA CATARINA,3.257176470588236
2016,CENTRO OESTE,DISTRITO FEDERAL,3.6909807692307695
2016,CENTRO OESTE,GOIAS,3.810596153846154
2016,CENTRO OESTE,MATO GROSSO,3.719961538461538
2016,CENTRO OESTE,MATO GROSSO DO SUL,3.513153846153846
2016,NORDESTE,ALAGOAS,3.7790384615384616
2016,NORDESTE,BAHIA,3.7737115384615385
2016,NORDESTE,CEARA,3.9084615384615384
2016,NORDESTE,MARANHAO,3.574807692307692
2016,NORDESTE,PARAIBA,3.657519230769231
2016,NORDESTE,PERNAMBUCO,3.6953076923076926
2016,NORDESTE,PIAUI,3.656596153846154
2016,NORDESTE,RIO GRANDE DO NORTE,3.8333461538461537
2016,NORDESTE,SERGIPE,3.6756346153846158
2016,NORTE,ACRE,4.092865384615385
2016,NORTE,AMAPA,3.6530384615384617
2016,NORTE,AMAZONAS,3.7360384615384614
2016,NORTE,PARA,3.9842692307692307
2016,NORTE,RONDONIA,3.8821923076923075
2016,NORTE,RORAIMA,3.883019230769231
2016,NORTE,TOCANTINS,3.865211538461538
2016,SUDESTE,ESPIRITO SANTO,3.6777307692307692
2016,SUDESTE,MINAS GERAIS,3.713326923076923
2016,SUDESTE,RIO DE JANEIRO,3.919192307692308
2016,SUDESTE,SAO PAULO,3.4990384615384613
2016,SUL,PARANA,3.632153846153846
